product_name,category_large,category_medium,item_type,grocery_item_name,brand_name
[마이너피겨스] 유기농 오트음료,음료,주스,BEVERAGE,오트음료,마이너피겨스
[마이셰프] 찹스테이크,간편식,밀키트,RTC_MEAL,밀키트,마이셰프
[건강한우리집비옴] 생 아몬드 분말,조미료,가루분말,SAUCE_SEASONING,아몬드 분말,건강한우리집비옴
[김구원선생] 매일 마시는 국산 콩물,채소/곡물류,콩/두부,SIMPLE_PROCESSED,콩물,김구원선생
스코티시 리더 슈프림,술,기타 주류,ALCOHOL,위스키,스코티시
스프링 시드 비올라 쉬라즈,술,와인,ALCOHOL,레드 와인,스프링 시드 와인즈
[KF365] 닭가슴살 샤브샤브 돌돌말이 (냉동),육류/계란,닭고기,RAW_MEAT,닭가슴살,KF365
[RARE : 레어] 1++ 한우 차돌박이 슬라이스,육류/계란,소고기,RAW_MEAT,차돌박이,RARE : 레어
[램테이블] 호주산 프렌치랙,육류/계란,기타,UNKNOWN,프렌치랙,램테이블
[건어물상회] 국물용멸치,수산물,멸치/건어물,DRIED_SEAFOOD,멸치,건어물상회
[krikri 크리크리] 그리스 그릭 요거트,유제품,요거트,DAIRY,요거트,krikri 크리크리
[KF365] 1+등급 무항생제 백색 특란,육류/계란,계란,RAW_MEAT,계란,KF365
[기장물산] 간편한끼 한봉씩 기장미역,수산물,미역/다시마,DRIED_SEAFOOD,미역,기장물산
[뉴트리코어] 포스파티딜세린,채소/곡물류,채소,RAW_PRODUCE,기타,뉴트리코어
[고메] 바삭탱글한 칠리새우,간편식,냉동식품,FROZEN_MEAL,칠리새우,고메
[라메르풀라르] 틴케이스 프랑스 전통 쿠키,간식류,과자/스낵,SNACK,쿠키,라메르풀라르
[나무사이로] 하우스 블렌드 드립백,음료,커피/차,BEVERAGE,커피백,나무사이로
[GRN] 분홍이 슬림밸런스&비오틴,기타,기타,UNKNOWN,기타,GRN
[Kim's butcher] 미국산 초이스 찜갈비 (냉동),간편식,냉동식품,FROZEN_MEAL,갈비,Kim's butcher
카라쿠치골드,술,기타 주류,ALCOHOL,청주,카라쿠치
[로아커] 미니스 디스펜서 나폴리타너,간식류,과자/스낵,SNACK,과자,로아커
행복한콩 국산콩 두부 부침용,채소/곡물류,콩/두부,SIMPLE_PROCESSED,두부,행복한콩
[디핀] 단호박 크림 뇨끼,간편식,냉동식품,FROZEN_MEAL,뇨끼,디핀
[대흥] 다이버가 채취한 자연산 해삼,수산물,조개/전복,RAW_SEAFOOD,해삼,대흥
[맥케인] 케이준 후라이,간편식,냉동식품,FROZEN_MEAL,감자튀김,맥케인
[맑은농장] 기운내요 쌍화차,음료,커피/차,BEVERAGE,쌍화차,맑은농장
글렌카담15년,술,기타 주류,ALCOHOL,위스키,글랜카담
[롯데] 키스틱 소시지,육류/계란,가공육(햄/소시지),PROCESSED_MEAT,소시지,롯데
프레스코발디 테누타 카스틸리오니 토스카나,술,와인,ALCOHOL,레드 와인,프레스코발디
1865 마스터 블랜드,술,와인,ALCOHOL,레드 와인,산 페드로
[더오담] 가마솥 누룽지,기타,기타,UNKNOWN,누룽지,더오담
[도리깨침] 열무김치,간편식,반찬류,SIMPLE_PROCESSED,열무김치,도리깨침
[마이시톨] 나의 이노시톨 마이시톨,기타,기타,UNKNOWN,기타,마이시톨
비네티 델 살렌토 졸라 네그로 아마로 (와인),술,와인,ALCOHOL,레드 와인,비네티 델 살렌토
[레미레미] 땅콩버터 미니팩,유제품,버터/생크림,DAIRY,땅콩 버터,레미레미
[글루어트] 애플사이다비니거,조미료,양념/소스,SAUCE_SEASONING,애플사이다비니거,글루어트
[둥구나무] 특선 채소 영양찜,간편식,레트로트,RTC_MEAL,레트로트,둥구나무
[델리치오] 호주산 목초육 안심 구이용,육류/계란,소고기,RAW_MEAT,안심,델리치오
